method,eta,batch_mode,seed,mean_lastN_train,mean_lastN_val,N,all_nan
adagradmomentum,1e-06,full,42,1.4495576454487409,1.2796672564124958,50,False
adagradmomentum,1e-06,full,1337,1.9339899143760015,1.5918191246518973,50,False
adagradmomentum,1e-06,full,31415,1.4907161724213274,1.3639571916631126,50,False
adagradmomentum,1e-06,sgd,42,0.13696194351444782,0.16678018105587186,50,False
adagradmomentum,1e-06,sgd,1337,0.13732645259775433,0.1663863487008829,50,False
adagradmomentum,1e-06,sgd,31415,0.1449340688509089,0.16641097917985825,50,False
adagradmomentum,1.778279410038923e-06,full,42,0.9746877753460198,0.8964219005949547,50,False
adagradmomentum,1.778279410038923e-06,full,1337,1.3020173648694728,1.085202229312869,50,False
adagradmomentum,1.778279410038923e-06,full,31415,1.002823371244073,0.9390914977540596,50,False
adagradmomentum,1.778279410038923e-06,sgd,42,0.13644340584043813,0.1661743295624535,50,False
adagradmomentum,1.778279410038923e-06,sgd,1337,0.13677438821415977,0.16573865374227673,50,False
adagradmomentum,1.778279410038923e-06,sgd,31415,0.14452789509336916,0.16594976893385013,50,False
adagradmomentum,3.162277660168379e-06,full,42,0.44152311213511797,0.4517126215475328,50,False
adagradmomentum,3.162277660168379e-06,full,1337,0.5466748748881958,0.48028371929790026,50,False
adagradmomentum,3.162277660168379e-06,full,31415,0.43118886178964383,0.42729148042914994,50,False
adagradmomentum,3.162277660168379e-06,sgd,42,0.13553812749756278,0.16511773579612352,50,False
adagradmomentum,3.162277660168379e-06,sgd,1337,0.13574969308742954,0.16453235300736557,50,False
adagradmomentum,3.162277660168379e-06,sgd,31415,0.14380756221188878,0.16513068559667626,50,False
adagradmomentum,5.623413251903491e-06,full,42,0.14023938768060154,0.16927368893550032,50,False
adagradmomentum,5.623413251903491e-06,full,1337,0.13743489529490854,0.1664922363782318,50,False
adagradmomentum,5.623413251903491e-06,full,31415,0.14498047425840752,0.16729060416774647,50,False
adagradmomentum,5.623413251903491e-06,sgd,42,0.13398726032597996,0.16330859375540663,50,False
adagradmomentum,5.623413251903491e-06,sgd,1337,0.13393736445684679,0.16237970082914394,50,False
adagradmomentum,5.623413251903491e-06,sgd,31415,0.14253910759600255,0.1636761340138142,50,False
adagradmomentum,1e-05,full,42,0.13663004768843912,0.16624784765347558,50,False
adagradmomentum,1e-05,full,1337,0.13704329358735315,0.16603660080296526,50,False
adagradmomentum,1e-05,full,31415,0.14461328157588751,0.16686859127888107,50,False
adagradmomentum,1e-05,sgd,42,0.1313986397011477,0.16027038359680112,50,False
adagradmomentum,1e-05,sgd,1337,0.130554873106422,0.15837663368964855,50,False
adagradmomentum,1e-05,sgd,31415,0.14026275719507145,0.1610428299089607,50,False
adagradmomentum,1.778279410038923e-05,full,42,0.13588083223596514,0.16536186430274344,50,False
adagradmomentum,1.778279410038923e-05,full,1337,0.13631482487143523,0.16519133934594982,50,False
adagradmomentum,1.778279410038923e-05,full,31415,0.1439574857435967,0.16611690719143415,50,False
adagradmomentum,1.778279410038923e-05,sgd,42,0.12688614628101072,0.155003926832949,50,False
adagradmomentum,1.778279410038923e-05,sgd,1337,0.12220643714108503,0.14850259914650166,50,False
adagradmomentum,1.778279410038923e-05,sgd,31415,0.13604697834694698,0.15616346267565126,50,False
adagradmomentum,3.1622776601683795e-05,full,42,0.134368438289189,0.16356884743179456,50,False
adagradmomentum,3.1622776601683795e-05,full,1337,0.13479928056607787,0.16340156899199598,50,False
adagradmomentum,3.1622776601683795e-05,full,31415,0.14259994043140703,0.1645306688744099,50,False
adagradmomentum,3.1622776601683795e-05,sgd,42,0.11943651937860199,0.1463405202012947,50,False
adagradmomentum,3.1622776601683795e-05,sgd,1337,0.0865895319051016,0.10581524327760025,50,False
adagradmomentum,3.1622776601683795e-05,sgd,31415,0.12745226178358837,0.14612526417978589,50,False
adagradmomentum,5.623413251903491e-05,full,42,0.13114356668659524,0.15975507182386797,50,False
adagradmomentum,5.623413251903491e-05,full,1337,0.13127660638507208,0.15921058394382379,50,False
adagradmomentum,5.623413251903491e-05,full,31415,0.14000179637009524,0.1614856917170211,50,False
adagradmomentum,5.623413251903491e-05,sgd,42,0.10139124870455836,0.12525722099869546,50,False
adagradmomentum,5.623413251903491e-05,sgd,1337,0.011169013698869253,0.012617203159755438,50,False
adagradmomentum,5.623413251903491e-05,sgd,31415,0.10298421912031525,0.11663491509426238,50,False
adagradmomentum,0.0001,full,42,0.12452021801688323,0.15175223030216872,50,False
adagradmomentum,0.0001,full,1337,0.12124731104622123,0.14735562422693305,50,False
adagradmomentum,0.0001,full,31415,0.13609099598788219,0.1568647439605254,50,False
adagradmomentum,0.0001,sgd,42,0.02840193139640262,0.03676113380553242,50,False
adagradmomentum,0.0001,sgd,1337,0.0024328073787328254,0.0023942856706066578,50,False
adagradmomentum,0.0001,sgd,31415,0.05007396031965038,0.05447744383097061,50,False
adagradmomentum,0.00017782794100389227,full,42,0.10977796979944283,0.13362343140125874,50,False
adagradmomentum,0.00017782794100389227,full,1337,0.09640538537777253,0.11767889069042767,50,False
adagradmomentum,0.00017782794100389227,full,31415,0.125167748768726,0.14426069761144558,50,False
adagradmomentum,0.00017782794100389227,sgd,42,0.011956012725995016,0.00987581364692449,50,False
adagradmomentum,0.00017782794100389227,sgd,1337,0.0024498744946140315,0.0025734864733751644,50,False
adagradmomentum,0.00017782794100389227,sgd,31415,0.0074392032901772365,0.006754114312124051,50,False
adagradmomentum,0.00031622776601683794,full,42,0.0781295324881259,0.09640291247837864,50,False
adagradmomentum,0.00031622776601683794,full,1337,0.03375462330938487,0.040839348935872495,50,False
adagradmomentum,0.00031622776601683794,full,31415,0.0998895094635306,0.11469345636201232,50,False
adagradmomentum,0.00031622776601683794,sgd,42,0.0031902181529634265,0.0057839207429479355,50,False
adagradmomentum,0.00031622776601683794,sgd,1337,0.0019152968345373955,0.0015448763098691845,50,False
adagradmomentum,0.00031622776601683794,sgd,31415,0.004593014226358974,0.0033536082885063084,50,False
adagradmomentum,0.0005623413251903491,full,42,0.046511810270683004,0.05500833302903797,50,False
adagradmomentum,0.0005623413251903491,full,1337,0.02236841582873774,0.019382362540813606,50,False
adagradmomentum,0.0005623413251903491,full,31415,0.05673159351091321,0.06074038668487984,50,False
adagradmomentum,0.0005623413251903491,sgd,42,0.0025893408484547894,0.004335265994332319,50,False
adagradmomentum,0.0005623413251903491,sgd,1337,0.0022407582167582813,0.0016724253249663775,50,False
adagradmomentum,0.0005623413251903491,sgd,31415,0.004769185074258175,0.004342037862855281,50,False
adagradmomentum,0.001,full,42,0.037616459934110176,0.03790844137013378,50,False
adagradmomentum,0.001,full,1337,0.0059039281595917835,0.004677999664628832,50,False
adagradmomentum,0.001,full,31415,0.025027100133167998,0.023301766096650373,50,False
adagradmomentum,0.001,sgd,42,0.00186457697248289,0.0024645457972145234,50,False
adagradmomentum,0.001,sgd,1337,0.005268662215694151,0.005269428184538003,50,False
adagradmomentum,0.001,sgd,31415,0.0038818107994767607,0.007400057329562479,50,False
adagradmomentum,0.0017782794100389228,full,42,0.15811713094205407,0.14368301755981208,50,False
adagradmomentum,0.0017782794100389228,full,1337,0.010981805533187797,0.00923038690158682,50,False
adagradmomentum,0.0017782794100389228,full,31415,0.03737612587278674,0.03675124562862997,50,False
adagradmomentum,0.0017782794100389228,sgd,42,0.003934721114037884,0.004022764191478335,50,False
adagradmomentum,0.0017782794100389228,sgd,1337,0.006677294702638482,0.00573830761341982,50,False
adagradmomentum,0.0017782794100389228,sgd,31415,0.0029225568200561586,0.0056457426792106465,50,False
adagradmomentum,0.0031622776601683794,full,42,0.02342149936610042,0.018684781462726705,50,False
adagradmomentum,0.0031622776601683794,full,1337,0.11546472977337935,0.08458738360986257,50,False
adagradmomentum,0.0031622776601683794,full,31415,0.18107929280903548,0.15752470002379612,50,False
adagradmomentum,0.0031622776601683794,sgd,42,0.0025065421152351396,0.003126487181362922,50,False
adagradmomentum,0.0031622776601683794,sgd,1337,0.0018457117894713094,0.0016356584151886865,50,False
adagradmomentum,0.0031622776601683794,sgd,31415,0.003308098854261641,0.003971193462940308,50,False
adagradmomentum,0.005623413251903491,full,42,0.05074712492374017,0.04226091404192237,50,False
adagradmomentum,0.005623413251903491,full,1337,0.10160183955977592,0.07955148083815873,50,False
adagradmomentum,0.005623413251903491,full,31415,0.18837086410495993,0.16355156270350743,50,False
adagradmomentum,0.005623413251903491,sgd,42,0.0017069573084847376,0.0021964981134168907,50,False
adagradmomentum,0.005623413251903491,sgd,1337,0.0026082918069264276,0.0024924939802128203,50,False
adagradmomentum,0.005623413251903491,sgd,31415,0.002036988126584621,0.0018957789775719766,50,False
adagradmomentum,0.01,full,42,1.8077789003473348,1.450396711004183,50,False
adagradmomentum,0.01,full,1337,1.6211099764142067,1.2935131493271461,50,False
adagradmomentum,0.01,full,31415,3.9301590689974564,2.8696948443046075,50,False
adagradmomentum,0.01,sgd,42,0.003904080477269915,0.004184531474695905,50,False
adagradmomentum,0.01,sgd,1337,0.0035929007775107004,0.0046724671273232245,50,False
